cik|ticker|date_filed|url|net_tone
1049782|BRKL|2019-01-30|https://www.sec.gov/Archives/edgar/data/1049782/000117184319000613/exh_991.htm|nan
105016|WSO|2019-02-14|https://www.sec.gov/Archives/edgar/data/105016/000119312519039251/d700481dex991.htm|nan
1050377|CNXN|2019-02-07|https://www.sec.gov/Archives/edgar/data/1050377/000115752319000263/a51937698ex99_1.htm|nan
1050441|EGBN|2019-01-16|https://www.sec.gov/Archives/edgar/data/1050441/000117184319000309/exh_991.htm|nan
1050446|MSTR|2019-01-29|https://www.sec.gov/Archives/edgar/data/1050446/000119312519020834/d635078dex991.htm|nan
1050606|SALM|2019-03-12|https://www.sec.gov/Archives/edgar/data/1050606/000119312519071933/d687948dex991.htm|nan
1050743|PGC|2019-01-25|https://www.sec.gov/Archives/edgar/data/1050743/000156459019001119/pgc-ex991_6.htm|nan
1050797|COLM|2019-02-07|https://www.sec.gov/Archives/edgar/data/1050797/000105079719000004/colm20181231-8kexhibit991.htm|nan
1050825|SCS|2019-03-19|https://www.sec.gov/Archives/edgar/data/1050825/000117184319001829/exh_991.htm|nan
1050915|PWR|2019-02-21|https://www.sec.gov/Archives/edgar/data/1050915/000119312519046147/d708430dex991.htm|nan
105132|WDFC|2019-01-09|https://www.sec.gov/Archives/edgar/data/105132/000010513219000004/wdfc-20190109xex99_1.htm|nan
1051343|CWBC|2019-01-25|https://www.sec.gov/Archives/edgar/data/1051343/000117184319000504/exh_991.htm|nan
1051470|CCI|2019-01-23|https://www.sec.gov/Archives/edgar/data/1051470/000105147019000011/q42018earningsrelease.htm|nan
1051512|TDS|2019-02-22|https://www.sec.gov/Archives/edgar/data/1051512/000105151219000006/tdsq420188-kex991.htm|nan
1051627|AXTI|2019-02-20|https://www.sec.gov/Archives/edgar/data/1051627/000155837019000783/ex-99d1.htm|nan
1052100|WDR|2019-02-05|https://www.sec.gov/Archives/edgar/data/1052100/000110465919005696/a19-3979_1ex99d1.htm|nan
1052595|RLH|2019-03-08|https://www.sec.gov/Archives/edgar/data/1052595/000119312519067839/d681144dex991.htm|nan
105319|WW|2019-02-26|https://www.sec.gov/Archives/edgar/data/105319/000119312519052024/d715473dex991.htm|nan
1053352|HTBK|2019-01-24|https://www.sec.gov/Archives/edgar/data/1053352/000155837019000235/ex-99d1.htm|nan
1053507|AMT|2019-02-27|https://www.sec.gov/Archives/edgar/data/1053507/000105350719000010/pressreleaseq42018.htm|nan
1053584|MCBC|2019-01-24|https://www.sec.gov/Archives/edgar/data/1053584/000114036119001500/ex99_1.htm|nan
1053706|CRAI|2019-02-28|https://www.sec.gov/Archives/edgar/data/1053706/000110465919011346/a19-5534_1ex99d1.htm|nan
1054102|IDXG|2019-03-19|https://www.sec.gov/Archives/edgar/data/1054102/000149315219003589/ex99-1.htm|nan
1054721|BSQR|2019-02-25|https://www.sec.gov/Archives/edgar/data/1054721/000156459019004108/bsqr-ex991_6.htm|nan
1055160|MFA|2019-02-21|https://www.sec.gov/Archives/edgar/data/1055160/000110465919009742/a19-5167_1ex99d1.htm|nan
1056087|MNIQQ|2019-03-07|https://www.sec.gov/Archives/edgar/data/1056087/000114420419012681/tv515678_ex99-1.htm|nan
1056285|KIRK|2019-03-15|https://www.sec.gov/Archives/edgar/data/1056285/000105628519000007/a20190315exhibit991kirk8-k.htm|nan
1056288|FHI|2019-01-24|https://www.sec.gov/Archives/edgar/data/1056288/000105628819000002/a991-2018q4earningspressre.htm|nan
105634|EME|2019-02-21|https://www.sec.gov/Archives/edgar/data/105634/000010563419000046/eme-ex99_20181231xq4.htm|nan
1056358|MTEX|2019-03-11|https://www.sec.gov/Archives/edgar/data/1056358/000105635819000024/exhbit991earningsreleasede.htm|nan
1056386|INAPQ|2019-03-14|https://www.sec.gov/Archives/edgar/data/1056386/000114036119004914/ex99_1.htm|nan
1056696|MANH|2019-02-05|https://www.sec.gov/Archives/edgar/data/1056696/000156459019001995/manh-ex991_6.htm|nan
1056903|AWR|2019-02-25|https://www.sec.gov/Archives/edgar/data/1056903/000115752319000437/a51945136ex99_1.htm|nan
1056943|PFIS|2019-01-29|https://www.sec.gov/Archives/edgar/data/1056943/000155837019000265/ex-99d1.htm|nan
1057060|HZO|2019-01-23|https://www.sec.gov/Archives/edgar/data/1057060/000156459019000917/hzo-ex991_6.htm|nan
1057352|CSGP|2019-02-26|https://www.sec.gov/Archives/edgar/data/1057352/000105735219000015/q42018earningspressrelease.htm|nan
1057379|HCKT|2019-02-19|https://www.sec.gov/Archives/edgar/data/1057379/000156459019003301/hckt-ex991_6.htm|nan
105770|WST|2019-02-14|https://www.sec.gov/Archives/edgar/data/105770/000010577019000006/exh991q42018earningsrelease.htm|nan
1057706|FBP|2019-01-29|https://www.sec.gov/Archives/edgar/data/1057706/000115752319000159/a51931882ex99_1.htm|nan
1057877|IDA|2019-02-21|https://www.sec.gov/Archives/edgar/data/1057877/000105787719000026/exhibit991-february212019.htm|nan
1058057|MRVL|2019-03-07|https://www.sec.gov/Archives/edgar/data/1058057/000105805719000007/q419_8kx222019ex-991.htm|nan
1058090|CMG|2019-02-06|https://www.sec.gov/Archives/edgar/data/1058090/000105809019000005/cmg-20190206xex99_1.htm|nan
1058290|CTSH|2019-02-06|https://www.sec.gov/Archives/edgar/data/1058290/000105829019000006/exhibit991123118.htm|nan
1058623|CMLS|2019-03-18|https://www.sec.gov/Archives/edgar/data/1058623/000105862319000013/cmls12312018earningsrelease.htm|nan
1058811|IMMR|2019-02-26|https://www.sec.gov/Archives/edgar/data/1058811/000162828019001971/immr8-k12312018exhibit9901.htm|nan
1058867|GNTY|2019-01-22|https://www.sec.gov/Archives/edgar/data/1058867/000105886719000002/gnty20181231exhibit991.htm|nan
1059142|ATAX|2019-02-28|https://www.sec.gov/Archives/edgar/data/1059142/000156459019005197/atax-ex991_7.htm|nan
1059556|MCO|2019-02-15|https://www.sec.gov/Archives/edgar/data/1059556/000115752319000357/a51940399ex99_1.htm|nan
1060219|SAL|2019-01-25|https://www.sec.gov/Archives/edgar/data/1060219/000155479519000012/sal0125form8kexh99_1.htm|nan
1060349|GBL|2019-02-05|https://www.sec.gov/Archives/edgar/data/1060349/000106034919000001/gbl8kex99120190205.htm|nan
1060391|RSG|2019-02-07|https://www.sec.gov/Archives/edgar/data/1060391/000106039119000006/exhibit991q42018.htm|nan
106040|WDC|2019-01-24|https://www.sec.gov/Archives/edgar/data/106040/000119312519015948/d688801dex991.htm|nan
1060736|SGEN|2019-02-07|https://www.sec.gov/Archives/edgar/data/1060736/000106073619000008/ex-9912018q4.htm|nan
1060822|CRI|2019-02-25|https://www.sec.gov/Archives/edgar/data/1060822/000106082219000002/ex991cri-q42018.htm|nan
1061027|SNSS|2019-03-07|https://www.sec.gov/Archives/edgar/data/1061027/000156459019006787/snss-ex991_6.htm|nan
1061219|EPD|2019-01-31|https://www.sec.gov/Archives/edgar/data/1061219/000106121919000002/exhibit99_1.htm|nan
1061630|BXMT|2019-02-12|https://www.sec.gov/Archives/edgar/data/1061630/000119312519035969/d658135dex991.htm|nan
1061983|CYTK|2019-02-21|https://www.sec.gov/Archives/edgar/data/1061983/000117184319001098/exh_991.htm|nan
1062231|AXL|2019-02-15|https://www.sec.gov/Archives/edgar/data/1062231/000106223119000011/axl-q4_2018xex991xir.htm|nan
1062822|LXRX|2019-03-13|https://www.sec.gov/Archives/edgar/data/1062822/000106282219000005/pressreleaseq42018.htm|nan
1063344|HT|2019-02-25|https://www.sec.gov/Archives/edgar/data/1063344/000106334419000015/exhibit991-q42018earni.htm|nan
1064728|BTU|2019-02-06|https://www.sec.gov/Archives/edgar/data/1064728/000106472819000005/btu8k20190206exh991.htm|nan
1065059|LEU|2019-03-28|https://www.sec.gov/Archives/edgar/data/1065059/000106505919000003/exhibit9912018pressrelease.htm|nan
1065088|EBAY|2019-01-29|https://www.sec.gov/Archives/edgar/data/1065088/000106508819000003/exhibit991erebayq42018.htm|nan
1065280|NFLX|2019-01-17|https://www.sec.gov/Archives/edgar/data/1065280/000106528019000040/ex991_q418.htm|nan
106532|WEYS|2019-03-05|https://www.sec.gov/Archives/edgar/data/106532/000114420419012209/tv515474_ex99-1.htm|nan
1065332|EGOV|2019-01-30|https://www.sec.gov/Archives/edgar/data/1065332/000106533219000002/ex991q42018earningsrelease.htm|nan
106535|WY|2019-02-01|https://www.sec.gov/Archives/edgar/data/106535/000010653519000006/a2018q4ex-991.htm|nan
1065696|LKQ|2019-02-28|https://www.sec.gov/Archives/edgar/data/1065696/000106569619000008/exhibit991.htm|nan
1065837|SKX|2019-02-07|https://www.sec.gov/Archives/edgar/data/1065837/000119312519030864/d704703dex991.htm|nan
