cik|ticker|date_filed|URL
1689923|AYX|2019-02-27|https://www.sec.gov/Archives/edgar/data/1689923/000168992319000003/ayxex991123118.htm
1690334|SMHI|2019-03-06|https://www.sec.gov/Archives/edgar/data/1690334/000143774919004154/ex_136003.htm
1690585|MGTA|2019-03-19|https://www.sec.gov/Archives/edgar/data/1690585/000119312519078945/d716475dex991.htm
1690666|XPER|2019-02-20|https://www.sec.gov/Archives/edgar/data/1690666/000156459019003454/xper-ex991_6.htm
1690680|NMRK|2019-02-12|https://www.sec.gov/Archives/edgar/data/1690680/000156459019002602/nmrk-ex991_42.htm
1690820|CVNA|2019-02-27|https://www.sec.gov/Archives/edgar/data/1690820/000169082019000019/a9918-k123118.htm
1691303|HCC|2019-02-21|https://www.sec.gov/Archives/edgar/data/1691303/000169130319000006/exhibit-991022119.htm
1691337|PCSB|2019-01-24|https://www.sec.gov/Archives/edgar/data/1691337/000156459019001030/pcsb-ex991_6.htm
16918|STZ|2019-01-09|https://www.sec.gov/Archives/edgar/data/16918/000001691819000005/stzex_99-1.htm
1692063|SNDR|2019-01-31|https://www.sec.gov/Archives/edgar/data/1692063/000169206319000036/a2018q4exhibit991earnings.htm
1692115|SWX|2019-02-27|https://www.sec.gov/Archives/edgar/data/1692115/000169211519000010/exhibit99.htm
1692412|PLYA|2019-02-28|https://www.sec.gov/Archives/edgar/data/1692412/000169241219000012/ye18-ex991earningsrelease.htm
1692427|NCSM|2019-03-07|https://www.sec.gov/Archives/edgar/data/1692427/000169242719000010/ncsm-20190307xex99_1.htm
1692819|VST|2019-02-28|https://www.sec.gov/Archives/edgar/data/1692819/000119312519055469/d682583dex991.htm
1694187|NTGN|2019-03-11|https://www.sec.gov/Archives/edgar/data/1694187/000169418719000018/ntgn-20180311xex991.htm
1694665|EVLO|2019-02-14|https://www.sec.gov/Archives/edgar/data/1694665/000169466519000010/exhibit991q42018.htm
1695357|PRVB|2019-03-19|https://www.sec.gov/Archives/edgar/data/1695357/000149315219003585/ex99-1.htm
1696558|JRSH|2019-02-08|https://www.sec.gov/Archives/edgar/data/1696558/000114420419005883/tv512913_ex99-1.htm
1697500|SOI|2019-02-27|https://www.sec.gov/Archives/edgar/data/1697500/000155837019001208/ex-99d1.htm
1698530|XCUR|2019-03-08|https://www.sec.gov/Archives/edgar/data/1698530/000169853019000014/a8k3819exhibit991.htm
1698990|MGY|2019-02-25|https://www.sec.gov/Archives/edgar/data/1698990/000119312519050071/d710764dex991.htm
1701051|WOW|2019-03-07|https://www.sec.gov/Archives/edgar/data/1701051/000155837019001625/ex-99d1.htm
1701108|SPRO|2019-03-14|https://www.sec.gov/Archives/edgar/data/1701108/000119312519074792/d705014dex991.htm
1701114|APRN|2019-01-30|https://www.sec.gov/Archives/edgar/data/1701114/000155837019000289/ex-99d1.htm
1701605|BKR|2019-01-31|https://www.sec.gov/Archives/edgar/data/1701605/000170160519000015/earningsreleaseexhibit9911.htm
1701732|ALTR|2019-02-28|https://www.sec.gov/Archives/edgar/data/1701732/000119312519057526/d718274dex991.htm
1702744|SMPL|2019-01-03|https://www.sec.gov/Archives/edgar/data/1702744/000170274419000003/a991_pressreleasexq1x2019.htm
1702750|BY|2019-01-24|https://www.sec.gov/Archives/edgar/data/1702750/000156459019001059/by-ex991_6.htm
1703056|ADT|2019-03-11|https://www.sec.gov/Archives/edgar/data/1703056/000170305619000041/adt03-11x19ex99x1.htm
1703489|PDLB|2019-03-20|https://www.sec.gov/Archives/edgar/data/1703489/000156459019008670/pdlb-ex991_6.htm
1703644|GPMT|2019-02-05|https://www.sec.gov/Archives/edgar/data/1703644/000170364419000029/gpmtq4-2018earningsrelease.htm
1703956|BBCP|2019-03-18|https://www.sec.gov/Archives/edgar/data/1703956/000143774919005117/ex_138006.htm
1704596|EVOP|2019-03-13|https://www.sec.gov/Archives/edgar/data/1704596/000117184319001680/exh_991.htm
1704711|FNKO|2019-02-28|https://www.sec.gov/Archives/edgar/data/1704711/000156459019005468/fnko-ex991_6.htm
1704720|CNNE|2019-03-14|https://www.sec.gov/Archives/edgar/data/1704720/000170472019000008/a20184qcannaeholdingspress.htm
1705110|ANGI|2019-02-07|https://www.sec.gov/Archives/edgar/data/1705110/000110465919006347/a19-4225_1ex99d1.htm
1705682|VNTR|2019-02-20|https://www.sec.gov/Archives/edgar/data/1705682/000110465919009392/a19-5028_1ex99d1.htm
1705696|VICI|2019-02-14|https://www.sec.gov/Archives/edgar/data/1705696/000170569619000063/viciq42018earningsrelease.htm
